Hex	Category	Name	Environment	Description
#0067A5	blues	Sapphire Blue	gemstone,royal	A jewel-toned hue reminiscent of fine sapphires, long prized in royal jewelry as a symbol of fidelity.
#006B3C	greens	Cadmium Green		A 19th-century pigment made from cadmium compounds, valued by painters for its strength and permanence.
#006DB0	blues	Honolulu Blue		Chosen for the Detroit Lions in the 1930s to evoke Honolulu's bright tropical waters.
#0070B8	blues	Spanish Blue		A bright azure commonly seen in Spanish heraldry and regional flags. Its lively tone conveys Mediterranean vibrancy and cultural pride.
#0072BB	blues	French Blue		A mid-tone blue reminiscent of traditional French workwear and national uniforms, symbolizing craftsmanship and the elegance associated with French design.
#007474	blues	Skobeloff		A strong teal named for Russian General Mikhail Skobelev, whose uniforms featured this distinctive shade.
#00755E	blues	Tropical Rainforest		Crayola's name for a deep teal inspired by the shadowy foliage of equatorial rainforests.
#007BA7	blues	Cerulean		A serene sky-blue pigment discovered in 1805 by Swiss chemist Albrecht Höpfner. This cobalt stannate pigment captures the essence of a clear summer sky and was immediately embraced by landscape painters. Its name comes from the Latin 'caeruleus,' meaning sky blue. Cerulean's stability and resistance to fading made it a favorite of Impressionist painters, particularly Claude Monet, who used it extensively in his water lily series.
#007BB8	blues	Star Command Blue		This blue evokes a twilight horizon with its vibrant medium tone.
#007F5C	greens	Spanish Viridian		A darker take on viridian favored by Spanish painters for its turquoise undertones.
#007F66	blues	Generic Viridian		A standard version of viridian, this deep blue-green serves as a staple pigment in printing and painting, valued for its balanced mix of green and cyan.
#008000	greens	Green (Web)		Hex #008000 is the original green from the early web color palette. Its straightforward hue became a default choice in HTML for representing pure green on screens.
#008080	blues	Teal		Teal blends blue and green in equal measure, named after the stripe on the common teal duck. The color became a design favorite in the 1990s for its calm yet modern feel.
#0080FF	blues	Azure		A bright blue with slight purple undertones inspired by the azure sky, a term derived from the Persian word 'lazhward' meaning blue. This color has been associated with clarity, truth, and divine inspiration throughout history, appearing in heraldry, religious art, and classical architecture. Azure's association with open spaces and limitless possibilities has made it popular in technology and aviation design.
#0087BD	blues	Blue (NCS)		Defined by the Natural Color System as a clear medium blue used for design consistency.
#008B8B	blues	Dark Cyan		A deep blend of blue and green, reminiscent of ocean depths and modern digital palettes.
#009150	greens	Spanish Green		A deep emerald shade rooted in Spanish artistic traditions, often seen in classic tilework and lush Mediterranean landscapes.
#0093AF	blues	Blue (Munsell)		This hue is defined by the Munsell color system as a balanced medium blue, serving as a reference point for color calibration in design and printing.
#009698	blues	Viridian Green		Viridian green is a darker variant of the historic viridian pigment, prized by painters for its cool tone and excellent permanence.
#009B7D	blues	Paolo Veronese Green		A rich, vibrant green named after the Italian Renaissance painter Paolo Veronese, who was known for his masterful use of color and dramatic compositions. This color represents artistic excellence, classical beauty, and the enduring legacy of Renaissance art. Paolo Veronese green's association with fine art and cultural heritage has made it significant in artistic and museum contexts.
#009E60	greens	Shamrock Green		Named after Ireland's iconic shamrock, this cheerful green evokes good luck and features prominently in St. Patrick's Day celebrations.
#009EDB	blues	United Nations Blue		The signature blue of the United Nations flag, chosen to symbolize peace and international cooperation. It stands out on peacekeeper helmets and UN branding.
#009F6B	greens	Green (NCS)		A medium green defined by the Natural Color System, providing a standardized reference for architects and designers across Europe.
#00A550	greens	Green (Pigment)		A general-purpose pigment green used in art materials for its neutral undertone and versatility in mixing.
#00A693	blues	Persian Green		A vibrant, turquoise green inspired by the traditional ceramics and architecture of Persia, where this color has been used in decorative arts for centuries. This color represents the fusion of natural beauty and human artistry, and the rich cultural traditions of the Middle East. Persian green's association with classical elegance and cultural heritage has made it popular in heritage and luxury design.
#00A877	greens	Green (Munsell)		A specific Munsell notation of green, valued in color science for its consistency across mediums.
#00AB66	greens	GO Green		A bright, energetic green often associated with environmental initiatives and the call to 'go green' in sustainable design.
#00AD43	greens	Green (Pantone)		Pantone's standard bright green, widely referenced in graphic design and printing for its vibrant presence.
#00B7EB	blues	Cyan (Process)		The pure cyan ink used in CMYK printing for photographic color separation.
#00BFFF	blues	Deep Sky Blue		A brilliant, intense blue that captures the pure color of a cloudless summer sky at its zenith. This color represents openness, freedom, and infinite possibility, embodying the vastness of the heavens. Deep sky blue's association with clarity and optimism has made it popular in aviation, technology, and outdoor brands, while its vibrant hue appeals to designers seeking to create uplifting, expansive environments.
#00CC99	blues	Caribbean Green		A turquoise shade reminiscent of clear Caribbean waters, evoking tropical beaches and relaxation.
#00CCCC	blues	Robin Egg Blue		A gentle, refreshing green inspired by the rare green varieties of turquoise gemstone, which have been valued for their beauty and spiritual significance by cultures from ancient Persia to Native American tribes. Turquoise green evokes the lushness of verdant oases and the healing properties attributed to the stone. This color is often used in design to convey renewal, balance, and a harmonious connection to nature.
#00CCFF	blues	Vivid Sky Blue		A brilliant, intense blue that captures the pure, unclouded sky at its most vibrant. Vivid sky blue evokes feelings of freedom, clarity, and boundless possibility, reminiscent of perfect summer days and open horizons. This color is often used in design to convey optimism, freshness, and the exhilarating sense of wide-open spaces.
#00CED1	blues	Dark Turquoise		A deep, rich blue-green that captures the mysterious depths of tropical waters. This color evokes the tranquility and beauty of coral reefs and deep ocean environments. Dark turquoise's association with water and nature has made it popular in spa and wellness design, while its sophisticated depth appeals to luxury fashion and interior design. The color's calming properties make it ideal for creating peaceful, restorative environments.
#00FA9A	greens	Medium Spring Green		A bright, fresh green that captures the vibrant energy of early spring growth. This color represents renewal, new beginnings, and the promise of warmer days ahead. Medium spring green's association with nature's awakening and environmental consciousness has made it popular in seasonal design and eco-friendly branding.
#00FF00	greens	Lime Green		A vivid hue inspired by the rind of limes; popularized in pop art and neon designs for its eye-catching brightness.
#00FF40	greens	Erin		This bright yellow-green takes its name from an old poetic term for Ireland, conjuring images of the island's lush countryside.
#00FF7F	greens	Spring Green		A lively shade halfway between cyan and green on the RGB wheel, representing the first shoots of vegetation in spring.
#00FFBF	greens	Technobotanica		A playful synthetic green-blue created for digital palettes, suggesting futuristic plant life and high-tech aesthetics.
#00FFCD	blues	Sea Green (Crayola)		Crayola introduced this cheerful blue-green to capture the inviting hue of shallow seawater.
#00FFEF	blues	Turquoise Blue		A vivid blue-green reminiscent of the shallow waters of tropical seas, turquoise blue draws its name from the gemstone that has been treasured for millennia by cultures from ancient Egypt to the American Southwest. This color evokes feelings of tranquility, clarity, and exotic beauty, and has been used in jewelry, art, and architecture to symbolize protection, healing, and the boundless spirit of the ocean.
#00FFFE	blues	Spanish Sky Blue		A bright sky blue often used in Spanish sports uniforms and coastal imagery.
#00FFFF	blues	Aqua/Cyan		A bright, electric blue-green that is one of the three primary colors in the subtractive color model (CMYK). The name comes from the Greek 'kyanos,' meaning dark blue. Cyan is essential in color printing and photography, where it combines with magenta and yellow to create a full color spectrum. This color's association with technology and digital media has made it a popular choice for modern design and user interfaces.
#010203	neutrals	Rich Black		In printing, rich black combines multiple inks to achieve a deeper black than standard black alone, producing a more saturated neutral.
#014421	greens	UP Forest Green		The official color of the University of the Philippines, this dark green represents growth and academic tradition.
#01796F	blues	Pine Green		A deep, rich green inspired by the needles of pine trees, which have been valued for their beauty and practical uses for thousands of years. This color represents the enduring strength of evergreen forests and the natural beauty of coniferous landscapes. Pine green's association with forest conservation and outdoor recreation has made it popular in environmental and outdoor branding.
#043927	greens	Sacramento State Green		Adopted by Sacramento State University, this rich green reflects the school's tree-filled campus and regional heritage.
#0A7E8C	blues	Metallic Seaweed		A dark turquoise with a subtle metallic sheen, reminiscent of glistening seaweed under coastal waters.
#0ABAB5	blues	Tiffany Blue		A distinctive robin's egg blue that has become synonymous with luxury and elegance since Tiffany & Co. adopted it in 1845. This color was chosen by founder Charles Lewis Tiffany for the cover of the company's Blue Book catalog, and has since become one of the most recognizable brand colors in the world. The shade's association with Tiffany's iconic jewelry boxes and the promise of precious gifts has made it a symbol of romance and sophistication.
#0BDA51	greens	Malachite		A vibrant green pigment derived from the mineral malachite, a copper carbonate hydroxide. This ancient pigment was used in Egyptian wall paintings and medieval illuminated manuscripts. The mineral's distinctive banded patterns, formed by copper deposits, create the characteristic green color. Malachite was ground into powder and mixed with egg yolk or oil to create paint, though modern versions use synthetic copper compounds for safety.
#0F52BA	blues	Sapphire		Named after the precious gemstone, sapphire blue conveys luxury and has been prized in jewelry and royal regalia.
#100C08	oranges	Smoky Black		This deep brownish-black resembles charred wood or thick smoke, lending a moody warmth to designs.
#1164B4	blues	Green-Blue		A balanced teal often used in scientific illustrations to depict water or algae.
#123524	greens	Phthalo Green		A deep, intense green pigment first synthesized in 1938, known for its exceptional color strength and lightfastness. This synthetic pigment revolutionized green colors in art, offering artists a powerful, non-toxic alternative to traditional green pigments. Phthalo green's association with modern artistic innovation and technical excellence has made it significant in contemporary art and industrial applications.
#126180	blues	Blue Sapphire		A dark, jewel-toned blue modeled after sapphire gemstones, valued in fashion for its richness.
#130a8f	blues	International Klein Blue		A deep, ultramarine blue created by French artist Yves Klein in the 1950s. This pigment was developed specifically for Klein's monochromatic paintings and became his signature color. The artist patented the color and used it extensively in his 'Anthropometries' series, where he used nude models as 'living brushes.' International Klein Blue represents the artist's quest for pure color and his belief in the spiritual power of monochromatic art.
#138808	greens	India Green		The green of India's national flag, symbolizing fertility, faith, and the land's lush landscapes.
#1560BD	blues	Denim		A classic blue inspired by the durable cotton twill fabric that revolutionized workwear in the late 19th century. Denim's name comes from 'de Nîmes,' referring to the French city where the fabric was first woven. This color represents durability, authenticity, and American culture, as denim jeans became a symbol of rebellion and youth culture in the 1950s. The color's association with hard work and casual style has made it a timeless choice in fashion and design.
#177245	greens	Dark Spring Green		A deep, vibrant green that captures the rich color of new growth in early spring. This color represents renewal and vitality, embodying the energy of nature's awakening after winter. Dark spring green's association with growth and new beginnings has made it popular in environmental and wellness contexts, while its natural depth appeals to designers seeking to bring the outdoors inside.
#18453B	blues	MSU Green		Michigan State University's official green, representing school pride and the greenery of the campus.
#189BCC	blues	Weezy Blue		A bright, energetic blue inspired by the nickname 'Weezy' and the vibrant energy of contemporary culture. Weezy Blue captures the spirit of modern creativity and youthful expression, representing confidence, individuality, and the bold colors of contemporary design. This color is often used to convey freshness, innovation, and contemporary appeal.
#191970	blues	Midnight Blue	night		A deep, rich blue that captures the color of the night sky just before dawn. This color represents the quiet hours of reflection and the promise of a new day. Midnight blue's association with sophistication and depth has made it popular in formal wear and luxury branding.
#195905	greens	Lincoln Green		A deep, rich green named after the English city of Lincoln, where this color was traditionally used for woolen cloth. This color has strong associations with English folklore and the legend of Robin Hood, who was said to wear Lincoln green. The color represents the deep forests of medieval England and the connection between nature and English heritage.
#1A2421	greens	Dark Jungle Green		A muted deep green that echoes the dense shade of thick tropical forests.
#1B1B1B	neutrals	Eerie Black		A near-black tone often used in horror aesthetics to evoke fear and mystery.
#1C05B3	blues	Trypan Blue		A synthetic dye originally developed for biological staining, known for its intense purplish blue.
#1C39BB	blues	Persian Blue		A deep, rich blue inspired by the traditional ceramics and textiles of Persia (modern-day Iran), which have been celebrated for their beauty and craftsmanship for thousands of years. This color represents cultural heritage, artistic excellence, and the rich traditions of Middle Eastern art. Persian blue's association with classical beauty and cultural sophistication has made it popular in heritage and luxury design.
#1CA9C9	blues	Pacific Blue		A bright, tropical blue that captures the clear, warm waters of the Pacific Ocean. This color represents adventure, exploration, and the vast beauty of marine environments. Pacific blue's association with coastal living and ocean conservation has made it popular in marine and environmental branding.
#1CAC78	greens	Green (Crayola)		Crayola's standard green crayon, introduced in 1903, capturing a bright grassy hue loved by children.
#1D2951	blues	Space Cadet		A dark blue introduced in the 2000s, conjuring images of futuristic space uniforms.
#1DACD6	blues	Cerulean (Crayola)		A vibrant medium blue reminiscent of a twilight horizon.
#1E90FF	blues	Dodger Blue		Named for the Los Angeles Dodgers, this vivid blue became popular in televised sports graphics.
#1F005E	purples	Paua		A deep, iridescent purple inspired by the paua shell, a type of abalone native to New Zealand that has been used in traditional Maori jewelry and art for centuries. This color represents the connection between ocean and land, and the cultural heritage of indigenous peoples. Paua's association with natural beauty and cultural tradition has made it popular in artisanal and cultural design.
#1F75FE	blues	Blue (Crayola)		This bright blue crayon color has been part of Crayola's palette for decades, symbolizing clear skies and creativity.
#20B2AA	blues	Light Sea Green		A refreshing blue-green that captures the color of shallow tropical waters and coral reefs. This color represents the beauty and tranquility of coastal environments and the rich biodiversity of marine ecosystems. Light sea green's association with ocean conservation and beach vacations has made it popular in travel and environmental branding.
#214FC6	blues	New Car		A bright, metallic blue that captures the pristine appearance of a brand new automobile. This color represents luxury, success, and the excitement of new beginnings. New Car's association with automotive excellence and achievement has made it popular in automotive branding and luxury design.
#2243B6	blues	Denim Blue		Named for the rugged denim fabric, this medium blue reflects the enduring appeal of blue jeans.
#228B22	greens	Forest Green		A dark green inspired by the deep canopies of mature forests, which have been the foundation of terrestrial ecosystems for millions of years. This color represents the abundance of life, natural wisdom, and the vital role of forests in maintaining Earth's biodiversity. Forest green's association with environmental conservation and natural heritage has made it popular in outdoor and eco-friendly branding.
#23297A	blues	St. Patrick'S Blue		Historically used as the national color of Ireland before green, this soft blue appears on many Irish coats of arms.
#242124	neutrals	Raisin Black		A deep, rich black inspired by the dried grape fruit, which has been valued for its concentrated sweetness and nutritional benefits for thousands of years. This color represents natural preservation, traditional food preparation, and the wisdom of ancient culinary practices. Raisin black's association with natural health and traditional cooking has made it popular in health food and heritage branding.
#26619C	blues	Lapis Lazuli	night		A deep blue pigment ground from the semi-precious stone lapis lazuli, which contains the mineral lazurite. This stone was mined in the Sar-e-Sang valley of Afghanistan for over 6,000 years and traded along the Silk Road. Ancient Egyptians used it for jewelry and cosmetics, while medieval artists ground it into ultramarine pigment. The stone's distinctive golden pyrite inclusions create a starry night effect that made it highly prized by royalty and artists alike.
#299617	greens	Slimy Green		A quirky yellow-green reminiscent of cartoon slime, popular in playful or nostalgic designs.
#29AB87	greens	Jungle Green		A deep, rich green that captures the lush, mysterious quality of tropical rainforests. This color represents the dense, humid environment of jungle ecosystems and their incredible biodiversity. Jungle green's association with adventure, exploration, and untamed nature has made it popular in outdoor gear and adventure sports. The color's depth and complexity evoke the hidden wonders and challenges of jungle environments.
#2a3439	blues	Gunmetal		A dark, metallic gray-blue that mimics the appearance of gunmetal, an alloy of copper, tin, and zinc used in firearms and machinery since the 16th century. This color represents strength, durability, and industrial power, making it popular in automotive design, military equipment, and industrial applications. Gunmetal's association with precision engineering and reliability has made it a favorite in technical and professional contexts.
#2A52BE	blues	Cerulean Blue		A classic sky-blue pigment made from cobalt(II) stannate, introduced in the 19th century as a safer alternative to earlier blue pigments. Cerulean blue is valued for its subtle, naturalistic hue and its stability in mixtures, making it a favorite for painting skies and seascapes. Its gentle, slightly greenish undertone distinguishes it from other blues, and it remains a staple in artists' palettes for landscape painting.
#2C1608	oranges	Zinnwaldite Brown		A deep, rich brown inspired by the mineral zinnwaldite, a lithium-bearing mica found in granite pegmatites. Zinnwaldite brown evokes the earthy depths of geological formations, the natural beauty of mineral deposits, and the enduring strength of stone. This color is often used in design to convey solidity, natural richness, and the timeless appeal of earth tones.
#2D383A	blues	Outer Space (Crayola)		A deep, mysterious gray that captures the infinite darkness of outer space. This color represents the unknown, exploration, and the vastness of the universe. Outer space's association with scientific discovery and cosmic wonder has made it popular in educational and space-themed design.
#2D5DA1	blues	Sapphire (Crayola)		Crayola introduced this jewel-toned blue to evoke the richness of sapphire gemstones.
#2D68C4	blues	True Blue		A dependable medium blue often used in corporate logos to convey trust and loyalty.
#2E2787	blues	Picotee Blue		A deep, rich blue inspired by the picotee pattern in flowers, where petals have a distinct border of color. This color represents the precision of natural patterns and the delicate beauty of floral design. Picotee blue's association with horticultural precision and natural elegance has made it popular in garden and floral design.
#2E2D88	blues	Cosmic Cobalt		A soft medium blue reminiscent of a twilight horizon.
#2E5090	blues	Yinmn Blue		A vivid blue pigment discovered by accident in 2009 by chemist Mas Subramanian at Oregon State University. Named for its chemical composition (yttrium, indium, and manganese oxides), YInMn Blue is the first new blue pigment discovered in over 200 years. Its exceptional stability and non-toxic properties make it ideal for artists' paints, and its discovery has been hailed as a breakthrough in pigment chemistry. The pigment's intense hue and durability have made it highly sought after by artists and conservators.
#2E5894	blues	B'Dazzled Blue		A soft medium blue reminiscent of deep ocean water.
#2E8B57	greens	Sea Green	ocean	A deep, rich green that captures the color of the ocean's depths. This color evokes the mysterious, life-giving quality of the sea and has been used in maritime contexts for centuries. Sea green's association with water and nature makes it a popular choice for environmental and conservation organizations, while its calming properties have made it a favorite in spa and wellness design.
#2F4F4F	blues	Dark Slate Gray		A muted dark blue reminiscent of clear skies.
#301934	purples	Dark Purple		A deep, mysterious purple that has been associated with royalty and spirituality throughout history. This rich shade was once so expensive to produce that only the wealthiest could afford purple garments, leading to its association with power and prestige. Dark purple's connection to wisdom and creativity has made it popular in educational and artistic contexts, while its sophisticated depth appeals to luxury brands and high-end design.
#30B21A	greens	Yellow-Green (Color Wheel)		The standard yellow-green on the traditional color wheel, bridging pure green and chartreuse.
#30BA8F	greens	Mountain Meadow		A fresh, vibrant green that captures the lush color of alpine meadows in summer. This color represents the natural beauty of mountain landscapes and the rich biodiversity of high-altitude ecosystems. Mountain Meadow's association with outdoor adventure and environmental conservation has made it popular in outdoor recreation and eco-friendly branding.
#30BFBF	blues	Maximum Blue Green		A soft medium blue reminiscent of clear skies.
#317873	blues	Myrtle Green		A deep, rich green inspired by the myrtle plant, which has been associated with love, marriage, and victory since ancient times. This color represents tradition, fidelity, and the enduring bonds of relationships. Myrtle green's association with classical mythology and romantic symbolism has made it popular in wedding and ceremonial design.
#318CE7	blues	Bleu De France		A vibrant medium blue reminiscent of clear skies.
#319177	greens	Illuminating Emerald		A radiant emerald shade used in modern digital palettes for its gemstone brilliance.
#32127A	purples	Persian Indigo		A deep, rich indigo inspired by the traditional indigo dyeing techniques of Persia, which have been perfected over centuries of textile production. This color represents the deep wisdom of traditional crafts and the enduring beauty of natural dyes. Persian indigo's association with classical textile arts and cultural heritage has made it significant in heritage and artisanal design.
#32174D	purples	Russian Violet		A soft dark purple reminiscent of lavender fields.
#324AB2	blues	Violet-Blue		A vivid blend of blue and violet that stands between the two on the color wheel.
#32CD32	greens	Lime Green		A bright, vivid green that captures the fresh, zesty quality of lime fruit. This color represents energy, vitality, and the invigorating taste of citrus. Lime green's association with health, freshness, and natural energy has made it popular in sports equipment and wellness branding. The color's vibrant, uplifting quality makes it ideal for creating energetic, positive environments.
#333399	blues	Blue (Pigment)		Similar to deep ocean water, it's a soft medium blue.
#33CC33	greens	Strong Lime Green		An electric lime hue that became popular in early arcade and computer graphics.
#343434	neutrals	Jet		Named for the gemstone jet, once carved into Victorian mourning jewelry.
#353839	neutrals	Onyx	ocean	A deep, rich black inspired by the onyx gemstone, which has been prized for its beauty and protective properties since ancient times. This color represents strength, protection, and the mysterious depths of the earth. Onyx's association with luxury and spiritual protection has made it popular in jewelry and high-end design.
#355E3B	greens	Hunter Green		Traditional color of 19th-century English hunting attire, valued for woodland camouflage.
#36454F	blues	Charcoal		A dark gray inspired by the sooty sticks used for sketching and drawing.
#36747D	blues	Ming		A sophisticated blue-gray named after the Ming dynasty (1368-1644), one of China's most prosperous and culturally rich periods. This color represents the refined aesthetics and artistic achievements of Chinese culture. Ming's association with classical Chinese art and architecture has made it popular in traditional and contemporary Asian design.
#367588	blues	Teal Blue		A subdued teal tone popular in mid-20th-century home décor.
#39A78E	blues	Zomp		A vibrant teal blue-green inspired by the energetic and playful qualities of contemporary culture. Zomp captures the dynamic energy of modern design, representing creativity, innovation, and the bold use of color in contemporary aesthetics. This color is often used in design to convey freshness, modernity, and the exciting possibilities of current trends.
#39FF14	greens	Neon Green	night		A bright, electric green that mimics the glow of neon gas when electrified. This color represents high energy, attention-grabbing intensity, and modern urban aesthetics. Neon green's association with nightlife, technology, and high-impact design has made it popular in entertainment and advertising.
#3AB09E	blues	Keppel		Named for Australia's Great Keppel Island, reflecting the area's turquoise seas.
#3B3C36	yellows	Black Olive		A deep olive-brown reminiscent of cured black olives.
#3B7A57	greens	Amazon		Captures the dense foliage of the Amazon rainforest in a subdued green.
#3C1414	reds	Dark Sienna		A deep, warm red-brown pigment made by heating raw sienna to intensify its color. This earth pigment has been used by artists for centuries, particularly in Renaissance painting for creating rich shadows and underpainting. Dark sienna's transparency and warm undertones make it essential for traditional oil painting techniques, where it's used to establish tonal values and create depth in portraits and landscapes.
#3C341F	oranges	Olive Drab #7		A dark yellow-green developed for early U.S. Army field uniforms.
#3C69E7	blues	Bluetiful		A rich, saturated blue with a slight purple undertone, created by Crayola in 2017 as part of their 'Colors of the World' campaign. This modern synthetic pigment captures the essence of deep sapphire gems and represents the company's commitment to inclusive color naming.
#3CB371	greens	Medium Sea Green		A balanced green-blue that captures the color of temperate ocean waters. This color represents the harmony between land and sea, and the natural beauty of coastal environments. Medium sea green's association with environmental conservation and marine life has made it popular in eco-friendly branding and outdoor recreation.
#3D0C02	reds	Black Bean		A vibrant dark red reminiscent of ripe cherries.
#3D2B1F	oranges	Bistre		A historic brown pigment derived from wood soot, used in old master drawings.
#3DDC84	greens	Android Green		Google chose this bright hue for the Android logo to signal friendly innovation.
#3E8EDE	blues	Tufts Blue		The official color of Tufts University, appearing on academic regalia and sports uniforms.
#3EB489	greens	Mint		A fresh, cool green inspired by the leaves of the mint plant (Mentha), which has been cultivated for over 3,000 years for its aromatic and medicinal properties. Mint green captures the crisp, invigorating quality of the herb and has been used in interior design and fashion to create a sense of freshness and cleanliness. The color's association with mint's cooling properties makes it popular in healthcare and wellness contexts.
#3F00FF	blues	Ultramarine		A deep, rich blue pigment originally ground from the semi-precious stone lapis lazuli, imported from Afghanistan. The name 'ultramarine' means 'beyond the sea' in Latin, reflecting its exotic origins. This pigment was so expensive that it was often reserved for the robes of the Virgin Mary in medieval paintings. In 1826, French chemist Jean-Baptiste Guimet created a synthetic version, making this once-rare color accessible to all artists.
#3FFF00	greens	Harlequin		A vibrant medium green reminiscent of fresh herbs.
#40826D	greens	Viridian		A cool, transparent blue-green pigment discovered in 1859 by French chemist Guignet. This synthetic chromium oxide hydrate replaced the toxic emerald green (copper arsenite) that had been poisoning artists. Viridian's transparency and stability made it a favorite of Impressionist painters like Monet, who used it extensively in his garden paintings. The pigment's name comes from the Latin 'viridis,' meaning green.
#40E0D0	blues	Turquoise		A distinctive blue-green color named after the precious gemstone turquoise, which has been prized for over 6,000 years. The stone's color comes from copper and aluminum phosphates, and was mined extensively by ancient civilizations in Persia, Egypt, and the Americas. Turquoise was considered sacred by many cultures - the Aztecs used it in royal masks, while Native American tribes valued it for spiritual protection. The color's unique balance of blue and green makes it universally appealing and culturally significant across many societies.
#4166F5	blues	Ultramarine Blue		Made from crushed lapis lazuli, this vivid hue was prized by medieval painters.
#4169E1	blues	Royal Blue (Light)		Similar to clear skies, it's a vibrant medium blue.
